iter	RMSE
0	573.2294637
1	572.3024678
2	571.3039926
3	570.4345922
4	569.5416685
5	568.6692504
6	567.909476
7	567.072027
8	566.2777287
9	565.4861774
10	564.6326868
11	563.8302058
12	563.0373728
13	562.2845197
14	561.5509798
15	560.7777193
16	559.9989381
17	559.3171741
18	558.5468781
19	557.7845946
20	557.1489409
21	556.4513579
22	555.7668407
23	554.9793974
24	554.2919043
25	553.6530255
26	553.0451514
27	552.3883482
28	551.7351156
29	551.1176091
30	550.5263287
31	550.0145802
32	549.4289252
33	548.9635319
34	548.3312817
35	547.7749614
36	547.2503285
37	546.7249021
38	546.2002571
39	545.6856731
40	545.173501
41	544.6651543
42	544.1391729
43	543.6405785
44	543.0869144
45	542.6387117
46	542.1747217
47	541.735257
48	541.2303204
49	540.7779159
50	540.2582932
51	539.8254413
52	539.3590706
53	538.8867986
54	538.5053141
55	538.0780998
56	537.7097114
57	537.2663611
58	536.8622054
59	536.4447746
60	535.9794571
61	535.617824
62	535.1849248
63	534.7802817
64	534.4080299
65	534.0159799
66	533.6544768
67	533.2175225
68	532.8339852
69	532.5203346
70	532.2012901
71	531.8090806
72	531.5056241
73	531.1436693
74	530.7472951
75	530.3744564
76	530.0656866
77	529.7241501
78	529.4411293
79	529.1631108
80	528.8815991
81	528.73202
82	528.3686215
83	528.046403
84	527.7771814
85	527.4765018
86	527.1574803
87	526.890458
88	526.6229098
89	526.3065351
90	526.0246522
91	525.7182054
92	525.451139
93	525.1684584
94	524.883592
95	524.5742857
96	524.3078565
97	524.0474462
98	523.7945105
99	523.508042
100	523.2269813
101	522.9934551
102	522.7734652
103	522.4478362
104	522.187996
105	521.8775975
106	521.6485657
107	521.4197861
108	521.1639577
109	520.929157
110	520.7227515
111	520.4403871
112	520.2398439
113	520.0320994
114	519.7424665
115	519.5629894
116	519.2529109
117	519.0880766
118	518.9074847
119	518.7227931
120	518.5122303
121	518.2797343
122	518.0143947
123	517.8462588
124	517.584748
125	517.4362388
126	517.2430642
127	517.0723629
128	516.9068806
129	516.7660147
130	516.6250631
131	516.4496068
132	516.2524973
133	516.0507658
134	515.836667
135	515.6294581
136	515.3659859
137	515.1566987
138	514.9609944
139	514.8476784
140	514.6019158
141	514.4314112
142	514.2010895
143	514.0028616
144	513.8670412
145	513.7109482
146	513.5520668
147	513.4258702
148	513.2659762
149	513.0995168
150	512.9090077
151	512.7324147
152	512.5423818
153	512.3702998
154	512.1934424
155	512.0709646
156	511.9286967
157	511.7609951
158	511.5981721
159	511.4225307
160	511.3039183
161	511.1403251
162	510.9061325
163	510.7795962
164	510.6616551
165	510.5543465
166	510.3526303
167	510.2228419
168	510.0942552
169	509.8654158
170	509.7301233
171	509.5452974
172	509.4241144
173	509.2986967
174	509.1189676
175	508.9317801
176	508.8257842
